wealth,age,education,socioeconomic
-200000,32,17,1111
-199990,33,12,24566
-199970,30,10,-17008
-198000,43,7,26790
-197900,31,12,-16928
-197900,28,17,30906
-197300,24,5,-49835
-197000,30,17,32480
-196850,29,17,40082
-196500,26,17,22278
-196500,33,11,17755
-196000,23,14,-785
-196000,60,16,38215
-196000,29,17,339703
-195570,43,12,-34294
-195000,81,16,6879
-195000,28,17,-12785
-195000,28,16,24704
-195000,31,16,3326
-194500,26,12,69415
-194500,35,17,272844
-193450,27,17,55562
-192500,29,17,339568
-192000,38,12,124026
-191480,43,13,16230
-191000,41,10,85960
-191000,35,15,19373
-190700,37,12,-26104
-190000,41,12,-13039
-189000,50,16,73917
-188000,31,17,80832
-187000,30,17,296226
-187000,23,17,43014
-186844,31,14,53807
-186300,46,16,68686
-186000,33,17,39697
-185500,30,17,35833
-185000,41,7,7603
-185000,38,16,-7285
-185000,31,16,16980
-184800,48,12,79502
-183000,69,12,-1565
-183000,32,15,-11352
-182000,25,16,77654
-182000,34,15,26427
-180000,27,12,-22785
-180000,33,16,-2485
-180000,33,17,187001
-180000,34,17,31010
-180000,42,16,2573
-180000,47,16,176112
-179000,44,16,62890
-179000,32,16,162310
-178800,30,17,5186
-178600,37,15,27060
-178000,29,17,44901
-178000,33,17,26853
-178000,63,12,22847
-177800,43,15,86746
-177350,30,17,31532
-177205,27,16,80852
-177000,51,16,168276
-177000,53,10,52372
-177000,56,16,19014
-177000,59,16,-10273
-177000,28,17,19832
-176500,45,12,3926
-176000,40,17,127401
-176000,25,16,52679
-176000,34,12,183286
-173000,36,17,22043
-173000,27,15,93694
-172500,27,16,107986
-172500,27,16,21754
-172300,33,17,31249
-172000,28,17,43814
-172000,48,4,-19766
-172000,42,14,170279
-171999,56,17,281820
-171000,59,12,32974
-171000,36,17,-11339
-170000,41,14,22981
-170000,26,16,-8678
-170000,29,16,55599
-170000,43,17,202675
-169900,23,16,-21599
-169500,53,12,27058
-169000,32,16,109597
-168500,60,15,49206
-168000,35,17,49614
-168000,30,16,89826
-167500,43,12,1277
-167500,43,14,121424
-167000,24,17,62050
-166500,59,12,2976
-165950,47,17,-2020
-165000,40,16,73892
-165000,30,16,15967
-164700,53,16,79084
-164500,53,17,109152
-164500,54,16,13688
-164300,30,17,33123
-164200,58,16,14902
-163650,25,16,34778
-163000,39,12,87459
-163000,32,17,58262
-162300,24,14,87908
-162000,27,17,90832
-161700,36,17,87974
-160000,29,17,167934
-159580,54,15,906
-159466,58,17,110701
-159000,31,16,112832
-159000,34,16,163975
-159000,27,16,98117
-158900,23,16,40915
-158500,48,10,-8442
-158400,31,17,94799
-158000,34,17,133672
-158000,28,15,41710
-158000,28,17,28091
-158000,42,6,-19598
-157151,28,16,186287
-157000,32,16,21658
-156500,26,16,6727
-156496,28,16,74192
-156000,38,17,59082
-155000,36,17,-15087
-154700,35,13,3840
-154500,36,16,22871
-153990,58,8,1100
-153925,34,16,138890
-153000,50,12,87672
-153000,32,17,26283
-153000,26,17,55850
-152826,46,16,-26209
-152700,24,16,-20586
-152000,50,12,24631
-151000,35,17,104582
-151000,32,17,-6241
-150100,41,17,-814
-150000,25,17,68549
-150000,39,12,14068
-150000,49,14,62869
-150000,53,14,75419
-150000,27,17,20536
-150000,43,13,133667
-150000,35,11,-4937
-150000,45,17,2031
-149850,49,17,-27342
-149500,25,16,42801
-149500,19,11,-15442
-149374,24,12,10817
-149250,41,11,778
-149100,30,17,-12168
-149000,35,16,72157
-149000,56,13,-2098
-148500,60,12,5254
-148300,33,16,103972
-148224,57,14,27676
-148200,55,12,25286
-148100,28,12,-9032
-148000,28,12,-24258
-148000,35,16,22990
-147920,24,17,-803
-147514,28,17,-11778
-147000,34,12,17091
-147000,32,17,74776
-147000,50,16,-3099
-146800,27,17,-180
-146500,36,17,54340
-146000,39,12,21973
-146000,35,13,-7816
-146000,28,17,-27501
-146000,36,16,17060
-146000,52,16,-9168
-145000,31,17,266832
-145000,35,13,23599
-145000,27,16,46901
-144800,30,15,45561
-144800,34,17,98317
-144500,26,13,39330
-144500,29,16,30010
-144370,26,16,2968
-144300,43,17,38685
-144000,31,17,29840
-144000,52,11,10386
-143000,35,11,28892
-142700,45,15,38658
-142500,29,17,34686
-142500,39,16,3682
-142100,61,12,21448
-142000,31,17,29187
-142000,52,12,-21844
-142000,32,17,31212
-142000,25,16,86899
-142000,43,14,1366
-142000,32,16,105434
-142000,56,17,30643
-141999,44,17,101820
-141900,36,17,-3168
-141100,45,17,25322
-141000,54,11,73201
-140500,32,17,83277
-140100,30,16,72583
-140100,43,16,20456
-140000,39,12,39575
-140000,40,16,126266
-140000,36,15,150091
-139971,36,15,231200
-139853,35,17,97947
-139750,48,15,-8522
-139100,55,17,-23955
-138800,26,17,17870
-138500,37,16,17667
-138500,28,10,-623
-138200,38,17,42215
-138000,30,17,29772
-138000,54,17,71837
-138000,25,17,100832
-138000,44,16,8619
-138000,53,14,86889
-138000,23,16,51630
-136500,41,15,37192
-136500,39,17,18384
-136000,49,17,67215
-136000,25,17,17969
-136000,42,17,62164
-135100,32,17,-22975
-135000,39,17,102713
-135000,37,16,115848
-134800,26,16,16901
-134800,30,14,9111
-134800,49,17,76901
-134600,54,16,106820
-134000,27,13,18279
-133500,40,12,119585
-133000,43,14,513
-132500,34,17,29614
-132500,51,12,-10264
-132500,24,16,4714
-132300,46,16,128454
-131500,47,17,18330
-131100,34,16,65942
-130550,50,15,-894
-130240,51,14,66502
-130000,53,17,25833
-130000,33,17,40527
-129800,35,17,55698
-129500,37,15,892
-129350,48,17,295674
-129000,29,17,96252
-128500,52,17,69872
-128000,38,12,27940
-128000,29,16,58582
-128000,34,17,54223
-128000,23,9,-2496
-128000,37,16,64164
-127800,22,16,37871
-127800,42,16,140258
-127800,37,16,82589
-127600,33,16,16073
-127000,30,16,118657
-127000,36,17,205734
-126600,28,17,104284
-126300,28,16,115267
-125900,31,17,30732
-125500,36,17,85777
-125150,62,17,246545
-125000,38,17,132608
-125000,26,17,52902
-125000,28,17,132258
-125000,33,16,146846
-124990,50,17,45914
-124960,27,14,-3290
-124500,23,17,201700
-124000,27,17,175249
-124000,36,17,421172
-124000,60,17,188888
-123900,43,17,4985
-123900,30,15,-26297
-123600,37,14,20972
-123600,26,17,-1079
-123500,48,17,19924
-123500,51,17,82832
-123000,64,8,-4074
-123000,43,16,46072
-122500,35,17,78816
-122500,35,14,49890
-122200,28,14,8440
-122000,59,12,64892
-122000,38,9,21748
-122000,19,14,-16514
-122000,41,15,184712
-121985,30,16,-16875
-121799,25,11,3715
-121400,26,13,6048
-121262,46,13,32578
-121000,66,8,7259
-120500,34,17,108330
-120300,31,17,49097
-120000,32,12,28082
-120000,27,17,200882
-120000,59,6,186268
-120000,27,17,299014
-120000,64,17,70692
-119700,30,17,-9796
-119500,29,17,86249
-119400,25,17,154251
-119100,28,12,-26815
-119000,38,17,459418
-119000,33,14,-11470
-118800,37,17,100258
-118500,42,12,124148
-118400,26,17,36211
-118000,28,16,102006
-118000,48,15,15215
-117600,33,12,-2006
-117500,22,14,127362
-117000,30,17,35267
-117000,21,11,5996
-116480,36,13,3900
-116400,61,17,64373
-116000,31,17,44748
-116000,26,17,13980
-116000,41,14,103039
-115948,57,15,52713
-115938,40,14,68890
-115800,59,16,58172
-115800,52,17,26212
-115700,29,17,156399
-115400,64,17,33597
-115000,53,17,28099
-115000,30,13,-10457
-115000,32,17,155558
-115000,43,12,48972
-115000,31,17,6332
-115000,48,14,223807
-115000,41,16,11906
-115000,32,11,7504
-114800,53,17,71619
-114750,57,17,2686
-114500,40,17,95568
-114300,26,17,78058
-114290,56,17,83798
-114000,30,17,48529
-114000,45,14,15448
-113980,36,17,30902
-113500,27,16,49884
-113500,45,17,150202
-113500,52,16,60610
-113500,31,16,29249
-113300,42,13,17713
-113100,39,17,102914
-113000,25,15,72698
-113000,25,17,86901
-113000,30,16,92585
-113000,45,16,33379
-113000,28,16,16572
-112500,33,17,28857
-112400,44,17,70585
-112000,22,16,46865
-112000,29,17,246822
-111725,38,17,22438
-111000,23,16,80515
-111000,43,14,49812
-111000,34,17,103588
-110999,44,12,-11537
-110556,91,17,16032
-110500,37,15,51148
-110500,48,16,45074
-110000,47,14,75727
-110000,37,17,111052
-110000,62,15,58617
-110000,60,6,8644
-110000,33,17,104062
-110000,42,17,-28355
-110000,49,12,-9514
-110000,39,14,179651
-109900,34,17,-16934
-109900,31,15,51724
-109900,29,17,76367
-109800,26,16,40068
-109800,25,14,57225
-109800,28,17,24902
-109500,31,17,27749
-109100,30,17,58582
-109000,35,17,-26579
-109000,25,16,62914
-109000,35,17,61111
-109000,57,16,2670
-109000,29,16,-12314
-109000,45,17,3713
-108988,49,14,92829
-108800,30,10,4597
-108500,29,17,39402
-108000,38,14,88076
-108000,46,12,28359
-108000,28,16,26832
-107875,52,15,-5865
-107800,57,14,62285
-107470,41,17,-11242
-107000,31,12,100606
-107000,36,17,261016
-107000,33,16,146151
-106866,34,17,32666
-106600,39,15,28120
-106525,29,17,-410
-106500,24,13,15598
-106500,43,17,5212
-106300,33,17,18401
-106000,51,17,72910
-105800,36,17,38691
-105000,26,17,25215
-105000,30,13,1900
-105000,30,17,106234
-105000,35,16,38015
-105000,26,17,102272
-105000,56,6,-6108
-105000,29,16,24815
-105000,49,15,169958
-105000,24,16,202367
-104900,39,17,3374
-104450,32,12,48326
-104300,40,14,23314
-104000,30,17,427020
-104000,28,12,-18291
-104000,26,16,86061
-103500,43,17,5814
-103100,31,16,5531
-103000,36,16,205400
-103000,37,17,99701
-103000,34,15,133607
-103000,34,16,92070
-103000,30,16,17902
-102700,51,12,27349
-102552,37,17,122387
-102500,31,17,1279
-102300,35,17,25693
-102000,48,9,-11634
-102000,27,17,5975
-102000,22,15,32832
-102000,28,11,44868
-102000,27,16,30529
-102000,50,4,-20411
-102000,31,11,2585
-102000,33,14,26901
-102000,26,12,-21490
-101700,29,11,-12600
-101500,34,12,14786
-101300,55,15,-13168
-101000,43,12,11091
-100900,60,17,26354
-100900,38,15,-9114
-100800,24,16,23215
-100600,34,16,197166
-100600,26,16,30033
-100300,45,17,-15155
-100300,32,16,35674
-100100,30,12,-1397
-100000,53,17,75532
-100000,25,12,-18098
-100000,31,12,51774
-100000,28,13,62608
-100000,54,12,-20773
-100000,51,17,102872
-100000,44,17,43748
-100000,55,11,38251
-100000,26,11,-13058
-100000,29,11,8918
-100000,28,11,-14499
-100000,31,13,-23051
-100000,41,16,17973
-100000,43,16,19793
-100000,21,13,-16022
-100000,45,13,28580
-100000,37,15,-69
-100000,40,8,-7524
-100000,50,7,-13099
-99910,22,17,1282
-99800,51,15,58329
-99600,28,17,67262
-99600,31,15,-2990
-99400,28,17,99014
-99300,47,16,86783
-99300,35,16,182743
-99200,26,11,24968
-99000,47,16,203058
-99000,38,16,58973
-99000,41,12,33212
-99000,60,12,-7612
-99000,28,17,25965
-98770,33,12,13000
-98500,26,16,42758
-98300,25,15,56329
-98300,38,15,-2915
-98200,24,13,1750
-98100,26,17,47620
-98000,30,16,123642
-98000,48,12,-14785
-98000,28,10,-19235
-98000,26,16,-8014
-98000,27,16,20832
-97800,28,12,-6180
-97800,31,11,-28207
-97500,29,16,74277
-97500,38,14,5785
-97300,35,15,-28551
-97200,41,17,45049
-97200,31,16,26179
-97000,47,11,-20727
-97000,28,17,61908
-97000,39,5,-15186
-97000,26,16,36901
-97000,25,16,16084
-96990,38,16,73199
-96950,62,16,51940
-96730,25,17,-12168
-96500,32,17,22069
-96500,54,13,13151
-96500,36,9,34365
-96450,32,13,13345
-96425,21,16,51058
-96092,35,17,96901
-96000,39,17,88023
-96000,46,14,27832
-96000,55,15,49194
-96000,26,12,60585
-96000,37,17,212832
-96000,33,16,142262
-96000,44,6,-21907
-96000,25,16,84339
-96000,44,10,43276
-95650,36,10,-24533
-95000,67,17,79725
-95000,32,12,29262
-95000,27,16,16832
-95000,24,14,130658
-95000,36,16,9368
-95000,31,17,42397
-94600,32,15,68252
-94500,52,12,48371
-94400,34,16,55402
-94308,37,15,-20619
-94300,26,15,54291
-94000,38,16,66973
-94000,27,16,11951
-94000,22,16,133732
-94000,51,13,-8733
-94000,29,15,28929
-94000,37,17,-2031
-94000,24,17,8314
-94000,36,14,2249
-93990,40,16,124388
-93900,27,17,8672
-93700,26,16,132327
-93540,38,16,36807
-93300,53,14,645
-93200,28,14,20136
-93200,27,16,27655
-93125,36,17,53332
-93000,28,17,84910
-93000,25,16,55595
-93000,29,16,43221
-93000,58,11,-16933
-93000,39,12,3127
-92800,46,14,25375
-92800,55,17,41211
-92700,27,16,-11899
-92500,26,16,28414
-92100,52,17,56502
-92000,26,17,45607
-92000,60,12,83847
-92000,24,17,20597
-92000,35,16,61982
-91900,43,10,-12032
-91700,50,16,-9698
-91700,27,17,20574
-91300,54,11,25412
-91280,25,14,28526
-91000,28,14,49674
-91000,29,16,-17968
-91000,27,16,75125
-91000,28,17,108940
-91000,23,15,59187
-91000,26,17,-7785
-91000,57,13,52369
-91000,45,16,83072
-90980,32,17,36561
-90800,28,17,62473
-90790,50,17,55730
-90600,35,15,1136
-90500,51,13,45662
-90000,34,14,40734
-90000,24,13,54278
-90000,29,17,167249
-90000,60,16,96249
-90000,31,17,69031
-90000,30,16,66195
-90000,66,12,-15551
-89980,30,12,-2543
-89960,55,12,30570
-89800,31,17,117178
-89600,26,16,93708
-89500,43,15,83091
-89500,47,17,52028
-89500,48,16,26198
-89500,26,17,189778
-89497,33,12,-2392
-89200,28,16,29741
-89127,35,17,-11123
-89100,23,13,60267
-89000,52,17,-2285
-89000,28,16,17129
-89000,25,14,140772
-89000,34,12,5043
-89000,32,15,55567
-89000,36,12,8292
-88979,34,17,80832
-88800,44,15,15686
-88700,27,17,-2586
-88600,31,14,35503
-88500,38,17,48892
-88500,25,16,-7596
-88000,49,17,220016
-88000,35,17,41823
-88000,68,13,31740
-88000,57,17,21153
-88000,51,17,13792
-88000,31,15,34708
-88000,32,17,18672
-88000,47,17,93554
-87730,51,12,10358
-87700,34,16,10890
-87600,28,12,-17069
-87500,37,16,45707
-87300,28,14,41479
-87200,40,16,-5712
-87000,60,12,67627
-87000,40,16,-16845
-87000,51,16,34451
-87000,42,14,45092
-87000,57,16,-9328
-87000,33,12,1326
-87000,35,17,26734
-87000,39,12,20533
-87000,44,12,57237
-87000,35,15,1215
-87000,31,14,-15900
-87000,25,15,9974
-86974,29,14,26092
-86900,45,16,8779
-86500,24,12,7840
-86300,30,17,-30118
-86200,33,16,-25751
-86076,34,11,55392
-86000,36,12,43610
-86000,29,17,70832
-86000,36,16,101012
-86000,62,6,-8538
-86000,34,14,39962
-86000,28,16,21920
-86000,29,15,85973
-85700,38,17,1671
-85500,24,14,29
-85500,36,13,33616
-85240,36,16,31215
-85000,26,17,-18398
-85000,40,17,30113
-85000,34,14,144564
-85000,38,17,164509
-85000,32,17,101918
-85000,30,14,35140
-85000,26,12,-7866
-85000,31,17,32277
-85000,29,17,41367
-85000,38,17,-5314
-85000,31,17,66684
-85000,28,16,36871
-85000,25,16,15312
-85000,28,12,79172
-85000,25,16,10901
-85000,25,17,30803
-85000,68,14,513998
-84994,28,11,-15955
-84980,38,16,63767
-84700,43,17,38951
-84650,35,17,-14279
-84500,35,16,-22785
-84500,38,17,28929
-84500,91,8,16403
-84455,33,17,58562
-84200,31,14,16834
-84000,33,12,92445
-84000,30,17,38010
-84000,50,17,20014
-84000,32,16,71173
-84000,32,16,108734
-84000,32,12,-19099
-84000,53,14,82356
-84000,48,16,37742
-84000,28,16,15073
-83800,27,14,41560
-83800,44,16,64812
-83509,41,15,27286
-83500,43,17,34170
-83394,75,12,-2180
-83300,32,17,22229
-83300,23,17,23215
-83000,39,17,39346
-83000,33,16,74082
-83000,58,17,-4757
-83000,46,11,31449
-83000,35,16,92608
-83000,45,12,28972
-83000,36,12,116091
-83000,31,17,26966
-83000,37,17,-23332
-83000,27,16,80329
-82532,30,16,54710
-82500,60,13,77314
-82400,36,17,48277
-82400,44,16,129375
-82350,54,13,24144
-82200,36,17,22832
-82000,58,12,32458
-82000,27,17,121992
-82000,45,17,105625
-82000,36,17,10832
-82000,37,14,59773
-81800,35,12,28980
-81800,46,17,132832
-81800,25,17,42901
-81700,38,16,45452
-81500,30,17,79001
-81400,25,16,-27938
-81300,32,17,86416
-81200,39,10,102986
-81128,24,13,-5090
-81100,28,13,16014
-81000,41,17,44101
-81000,69,8,-124
-81000,53,14,30569
-81000,36,16,-1264
-81000,37,17,-2819
-81000,28,15,42317
-80900,39,13,36270
-80645,27,17,-32226
-80500,42,7,11678
-80400,56,16,54932
-80300,32,16,6986
-80200,24,17,55832
-80191,39,17,125
-80095,32,14,31492
-80000,27,11,-722
-80000,29,12,56357
-80000,27,11,-28981
-80000,29,16,144953
-80000,54,17,361155
-80000,44,14,221301
-80000,42,9,-16145
-80000,29,17,24500
-80000,27,16,212672
-80000,25,15,47708
-80000,46,16,42443
-80000,33,17,-26138
-80000,41,11,3342
-80000,31,16,-108
-80000,23,14,3017
-80000,33,17,33206
-80000,28,11,-12257
-80000,28,16,-12582
-80000,28,14,-15416
-80000,30,14,62009
-79990,33,11,-9058
-79983,37,16,6245
-79910,54,11,-8918
-79890,41,12,9804
-79800,35,13,92561
-79800,26,16,21748
-79800,26,16,30352
-79800,34,16,40912
-79700,53,11,62742
-79700,56,11,-333
-79650,31,13,33857
-79600,36,17,-503
-79500,64,12,-7735
-79100,24,14,67943
-79000,28,16,67279
-79000,23,16,17564
-79000,29,14,12499
-79000,30,14,-16521
-79000,33,14,-15002
-78990,40,12,4934
-78700,21,12,-29679
-78700,39,13,44976
-78600,33,17,61847
-78500,31,17,52022
-78500,30,17,14648
-78500,30,17,66509
-78500,53,2,14762
-78500,28,12,24331
-78500,33,17,41382
-78300,67,12,32021
-78124,33,12,43458
-78000,67,15,9956
-78000,42,16,21249
-78000,23,17,6332
-78000,27,16,36628
-78000,44,17,28212
-78000,33,17,79848
-78000,25,17,53112
-78000,58,12,20788
-78000,55,12,6566
-78000,33,16,-39718
-78000,32,16,21105
-78000,30,16,-27081
-77900,37,12,38583
-77700,44,17,126901
-77600,38,15,21632
-77600,41,12,-16108
-77600,37,17,1409
-77500,25,16,98967
-77500,33,17,94498
-77500,29,17,-7799
-77500,27,14,-11514
-77500,24,15,17722
-77450,35,11,-16228
-77400,44,12,-14320
-77320,28,16,33235
-77300,35,16,8278
-77300,20,13,-10814
-77000,41,16,133272
-77000,58,11,-12658
-77000,51,14,44365
-77000,32,17,88916
-77000,26,17,69057
-77000,33,11,37066
-76943,39,17,118443
-76900,23,7,-10148
-76850,31,17,4938
-76800,36,15,26114
-76500,44,14,53315
-76500,58,13,77922
-76500,30,17,82713
-76500,39,12,1902
-76500,26,16,41262
-76200,49,16,-4017
-76121,35,17,29554
-76020,24,16,8782
-76000,39,15,38912
-76000,39,17,139582
-76000,38,16,4557
-76000,26,17,35882
-76000,37,13,43572
-76000,30,11,15295
-76000,52,12,77278
-76000,51,10,5097
-76000,41,12,-4446
-75950,34,12,26212
-75950,41,17,81262
-75900,36,16,31555
-75800,51,13,60955
-75800,36,14,74986
-75800,52,16,60312
-75700,41,14,36267
-75698,44,12,14770
-75600,50,16,78062
-75500,17,10,40722
-75500,34,16,171890
-75500,29,16,67410
-75400,57,12,48938
-75300,25,14,17916
-75300,30,17,85710
-75300,23,16,3585
-75200,33,17,29310
-75200,29,16,1306
-75100,26,13,-15875
-75100,45,17,85907
-75000,26,16,36949
-75000,36,13,96926
-75000,36,16,51734
-75000,26,9,-27014
-75000,49,16,-1630
-75000,22,12,597
-75000,24,12,-201
-75000,29,14,28267
-75000,25,16,126748
-75000,36,15,55191
-75000,25,17,23860
-75000,34,12,36976
-75000,35,12,-15198
-75000,37,17,104062
-75000,32,17,24613
-75000,34,17,-12387
-75000,47,14,13316
-75000,55,14,33454
-75000,42,17,70026
-75000,37,17,-10735
-74800,28,16,7651
-74800,37,16,195
-74800,49,15,17307
-74632,24,17,7417
-74600,27,16,43912
-74500,45,13,-20785
-74500,27,17,97692
-74500,55,16,217985
-74500,38,16,-3915
-74498,44,11,1278
-74200,28,16,-4432
-74000,45,17,-5960
-74000,36,17,8091
-74000,28,16,161082
-74000,38,16,5186
-74000,38,14,49689
-74000,32,17,16215
-74000,27,17,31871
-74000,32,17,80465
-74000,45,16,38559
-74000,29,16,-2107
-74000,45,11,2267
-73900,43,16,9895
-73500,27,16,25714
-73397,36,16,55832
-73300,23,15,24902
-73100,40,12,29142
-73000,30,17,38832
-73000,41,17,-15897
-73000,26,17,134302
-73000,39,17,110102
-73000,33,15,2736
-73000,47,12,57539
-73000,27,15,33626
-73000,44,16,-3345
-73000,27,17,6122
-72950,36,15,14390
-72911,52,3,-12846
-72570,29,16,29510
-72533,42,11,15227
-72500,29,12,-21328
-72500,44,16,27680
-72450,41,17,21355
-72400,31,14,-8638
-72250,28,17,30832
-72200,37,17,10526
-72100,33,14,23938
-72011,43,14,34015
-72000,34,16,107986
-72000,43,17,129951
-72000,41,16,227758
-72000,29,16,-3751
-72000,59,9,16542
-72000,35,17,46096
-72000,27,16,39014
-72000,32,17,87332
-72000,39,16,8669
-72000,33,15,-1898
-71990,34,4,-2099
-71980,35,17,89548
-71900,28,15,6902
-71900,40,16,-5058
-71800,46,15,39647
-71800,22,15,-8168
-71708,31,14,18890
-71500,30,17,24215
-71300,28,14,9580
-71300,48,15,-14705
-71300,31,14,7215
-71050,44,12,8713
-71000,31,16,110990
-71000,26,15,57861
-71000,37,14,191784
-71000,28,16,16902
-71000,36,13,1345
-71000,37,17,46837
-71000,38,12,-13276
-71000,27,16,25912
-70800,27,16,20965
-70500,29,17,96658
-70500,31,16,58883
-70500,23,16,49909
-70300,30,11,95457
-70100,27,16,46114
-70000,46,12,70636
-70000,63,17,44148
-70000,24,16,21901
-70000,32,17,99748
-70000,57,16,35824
-70000,38,17,167030
-70000,23,16,59415
-70000,29,17,92467
-70000,30,12,76936
-70000,27,15,4724
-70000,27,14,-2427
-70000,57,13,-31379
-70000,42,11,49228
-70000,34,12,42102
-70000,44,12,-10898
-70000,26,17,-21697
-70000,32,13,36748
-69950,60,16,2916
-69950,60,16,-9787
-69900,29,16,16757
-69852,24,17,-4098
-69800,24,16,112249
-69700,30,16,28008
-69700,27,15,39748
-69500,29,17,-3668
-69500,41,12,8354
-69500,25,17,79702
-69500,26,16,40748
-69400,65,12,-9311
-69400,29,12,45327
-69300,43,14,90021
-69200,33,11,-18898
-69100,27,17,28832
-69000,69,17,46232
-69000,33,14,10773
-69000,29,15,-13086
-69000,28,16,107940
-69000,27,17,112926
-69000,27,13,35516
-69000,29,17,45950
-69000,53,13,-13943
-69000,40,14,31929
-68900,55,14,23514
-68900,43,17,4059
-68900,32,14,33213
-68800,40,15,223892
-68650,25,16,-6086
-68600,31,13,129646
-68500,35,12,48778
-68500,28,17,11926
-68500,43,13,65096
-68500,51,16,25086
-68500,28,16,118056
-68200,30,15,36968
-68178,47,13,23742
-68000,33,12,33429
-68000,36,16,16558
-68000,40,15,56585
-68000,62,17,8305
-68000,22,12,35862
-68000,26,17,24216
-68000,64,6,43368
-68000,43,12,25968
-67950,28,16,46558
-67830,31,12,8681
-67716,24,12,21560
-67500,51,14,79249
-67500,24,16,37278
-67500,47,13,54858
-67200,27,16,-6168
-67200,23,16,44327
-67109,40,17,14713
-67000,30,17,158225
-67000,50,16,94314
-67000,38,15,-8147
